Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,170530,85368,2.60,1.30
1,64,209864,104492,12.80,6.37
1,256,207840,103701,50.74,25.31
1,512,262244,131188,128.04,64.05
1,1024,222165,111646,216.95,109.02
2,16,271614,135795,4.14,2.07
2,64,286000,142986,17.45,8.72
2,256,259171,129219,63.27,31.54
2,512,229892,115053,112.25,56.17
2,1024,227228,113712,221.90,111.04
3,16,278100,139176,4.24,2.12
3,64,267088,133469,16.30,8.14
3,256,308512,154718,75.32,37.77
3,512,247984,124080,121.08,60.58
3,1024,291948,146395,285.10,142.96
