Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.28,0.42,0.43,0.44,0.44,10,0.00,0.00
1,16,100,0.26,0.41,0.44,0.65,0.66,100,0.00,0.00
1,16,1000,0.62,1.20,1.27,1.36,1.50,1000,0.01,0.01
1,16,5000,1.36,3.16,3.82,3.98,4.07,4999,0.07,0.07
1,16,10000,3.16,6.17,6.46,7.04,7.35,9996,0.15,0.15
1,16,50000,2.30,15.21,17.44,20.43,26.27,49901,0.76,0.76
1,16,100000,4.21,16.55,19.24,22.66,26.27,99594,1.51,1.51
1,16,250000,5.72,15.85,17.99,22.27,25.88,247455,3.77,3.77
1,16,500000,3.36,34.04,36.20,54.44,66.59,489326,7.46,7.46
2,16,10,0.22,0.28,0.29,0.32,0.35,10,0.00,0.00
2,16,100,0.30,0.35,0.36,0.38,0.55,100,0.00,0.00
2,16,1000,0.63,1.15,1.19,1.31,1.40,1000,0.01,0.01
2,16,5000,1.41,3.19,3.91,4.10,4.86,4999,0.07,0.07
2,16,10000,2.22,6.27,6.63,7.58,8.96,9997,0.15,0.15
2,16,50000,3.11,16.87,19.15,23.00,25.69,49907,0.76,0.76
2,16,100000,4.51,39.27,56.05,59.06,61.09,99637,1.52,1.52
2,16,250000,1.25,35.39,40.77,54.49,61.83,247550,3.77,3.77
2,16,500000,5.88,15.68,17.76,23.02,33.93,489258,7.46,7.46
3,16,10,0.16,0.19,0.20,0.22,0.22,10,0.00,0.00
3,16,100,0.38,0.40,0.41,0.54,0.58,100,0.00,0.00
3,16,1000,0.60,1.15,1.19,1.33,1.37,1000,0.01,0.01
3,16,5000,2.16,3.28,3.91,4.22,5.07,4999,0.07,0.07
3,16,10000,2.97,6.17,6.86,7.40,8.84,9996,0.15,0.15
3,16,50000,4.87,19.89,21.92,27.07,29.76,49903,0.76,0.76
3,16,100000,6.69,28.00,31.62,40.84,54.34,99633,1.52,1.52
3,16,250000,1.18,18.61,21.24,25.76,29.79,247489,3.77,3.77
3,16,500000,2.35,20.16,22.65,28.06,39.46,489230,7.46,7.46
1,64,10,0.20,0.23,0.26,0.28,0.30,10,0.00,0.00
1,64,100,0.25,0.40,0.47,0.67,0.76,100,0.00,0.00
1,64,1000,0.60,1.01,1.05,1.12,1.23,1000,0.06,0.06
1,64,5000,2.95,3.44,4.00,4.36,5.18,4999,0.30,0.30
1,64,10000,0.69,6.37,6.70,7.81,8.63,9997,0.61,0.61
1,64,50000,4.34,10.27,11.87,14.97,19.01,49892,3.04,3.04
1,64,100000,0.73,11.82,13.06,16.06,19.70,99603,6.07,6.07
1,64,250000,4.03,10.41,11.50,13.71,19.29,247268,15.09,15.09
1,64,500000,1.19,13.88,16.79,22.32,34.35,488718,29.82,29.82
2,64,10,0.15,0.20,0.21,0.24,0.28,10,0.00,0.00
2,64,100,0.31,0.38,0.40,0.43,0.55,100,0.00,0.00
2,64,1000,0.61,1.03,1.07,1.11,1.26,1000,0.06,0.06
2,64,5000,3.00,3.33,3.81,4.17,5.22,4999,0.30,0.30
2,64,10000,2.79,6.45,6.64,7.94,9.58,9996,0.61,0.61
2,64,50000,3.22,10.91,12.26,16.99,21.57,49898,3.04,3.04
2,64,100000,5.19,10.40,11.63,14.15,16.86,99570,6.07,6.07
2,64,250000,3.01,7.70,8.59,11.12,17.01,247214,15.08,15.08
2,64,500000,1.09,8.40,9.87,13.51,28.39,488455,29.81,29.81
3,64,10,0.22,0.28,0.29,0.30,0.31,10,0.00,0.00
3,64,100,0.32,0.37,0.40,0.43,0.52,100,0.00,0.00
3,64,1000,0.62,1.17,1.27,1.51,2.04,1000,0.06,0.06
3,64,5000,2.09,3.31,4.09,4.50,5.23,4999,0.30,0.30
3,64,10000,0.69,6.37,6.62,7.89,10.45,9997,0.61,0.61
3,64,50000,2.42,8.55,9.94,11.67,13.05,49892,3.04,3.04
3,64,100000,4.52,10.54,11.90,13.98,16.56,99532,6.07,6.07
3,64,250000,2.51,7.96,8.98,11.75,17.44,247241,15.09,15.09
3,64,500000,1.45,8.13,9.26,16.81,28.79,488371,29.80,29.80
1,256,10,0.17,0.23,0.25,0.27,0.30,10,0.00,0.00
1,256,100,0.28,0.39,0.41,0.49,0.51,100,0.02,0.02
1,256,1000,0.69,1.08,1.23,1.46,1.50,1000,0.24,0.24
1,256,5000,1.18,3.65,4.21,5.32,5.77,4999,1.22,1.22
1,256,10000,1.50,5.03,5.83,7.15,7.65,9996,2.44,2.44
1,256,50000,1.62,4.59,5.25,6.30,7.32,49885,12.17,12.17
1,256,100000,1.40,5.73,6.81,7.88,9.69,99577,24.31,24.31
1,256,250000,1.62,5.95,7.05,8.96,15.48,247080,60.32,60.32
2,256,10,0.28,0.41,0.42,0.43,0.44,10,0.00,0.00
2,256,100,0.18,0.38,0.40,0.43,0.47,100,0.02,0.02
2,256,1000,0.69,1.16,1.40,1.54,2.35,1000,0.24,0.24
2,256,5000,1.68,3.63,4.19,5.20,5.83,4999,1.22,1.22
2,256,10000,2.98,4.50,5.12,6.14,7.66,9996,2.44,2.44
2,256,50000,1.61,5.74,6.75,7.72,9.04,49892,12.18,12.18
2,256,100000,1.71,5.24,6.00,7.63,9.39,99562,24.30,24.30
2,256,250000,1.57,4.65,5.25,7.13,13.94,247081,60.32,60.32
3,256,10,0.19,0.24,0.26,0.27,0.27,10,0.00,0.00
3,256,100,0.25,0.51,0.58,0.65,0.65,100,0.02,0.02
3,256,1000,0.69,1.21,1.39,1.73,2.43,1000,0.24,0.24
3,256,5000,1.61,3.81,3.95,4.59,5.36,4999,1.22,1.22
3,256,10000,1.75,4.51,5.22,6.48,7.30,9996,2.44,2.44
3,256,50000,1.70,5.98,6.90,7.85,9.02,49884,12.17,12.17
3,256,100000,1.45,4.90,5.75,7.02,8.72,99547,24.30,24.30
3,256,250000,1.50,5.81,6.96,9.16,15.54,247062,60.31,60.31
1,512,10,0.17,0.27,0.28,0.31,0.32,10,0.00,0.00
1,512,100,0.17,0.44,0.47,0.64,0.65,100,0.04,0.04
1,512,1000,0.84,1.16,1.44,1.65,2.43,1000,0.48,0.48
1,512,5000,0.84,3.07,3.61,4.52,4.75,4999,2.44,2.44
1,512,10000,0.92,3.02,3.44,4.42,5.29,9995,4.88,4.88
1,512,50000,0.71,3.84,4.50,5.32,6.28,49882,24.35,24.35
1,512,100000,0.62,3.70,4.36,5.46,7.63,99541,48.60,48.60
2,512,10,0.16,0.23,0.24,0.29,0.29,10,0.00,0.00
2,512,100,0.19,0.42,0.45,0.56,0.57,100,0.04,0.04
2,512,1000,0.70,1.35,1.74,2.08,2.94,1000,0.48,0.48
2,512,5000,0.88,3.28,3.73,4.56,5.16,4999,2.44,2.44
2,512,10000,0.82,4.01,4.57,5.36,5.89,9995,4.88,4.88
2,512,50000,0.50,3.69,4.41,5.16,6.53,49885,24.35,24.35
2,512,100000,0.85,4.32,5.06,6.21,8.03,99545,48.60,48.60
3,512,10,0.29,0.30,0.31,0.41,0.42,10,0.00,0.00
3,512,100,0.21,0.45,0.49,0.63,0.68,100,0.04,0.04
3,512,1000,0.55,1.19,1.54,1.87,2.54,1000,0.48,0.48
3,512,5000,0.77,3.84,4.49,5.19,5.77,4999,2.44,2.44
3,512,10000,0.85,4.10,4.76,5.59,6.03,9995,4.88,4.88
3,512,50000,0.91,3.55,4.17,4.99,6.06,49881,24.35,24.35
3,512,100000,0.93,4.26,4.97,6.09,8.04,99532,48.59,48.59
1,1024,10,0.18,0.26,0.27,0.33,0.45,10,0.00,0.00
1,1024,100,0.18,0.55,0.57,0.67,0.72,100,0.09,0.09
1,1024,1000,0.46,1.50,2.02,2.72,3.15,1000,0.97,0.97
1,1024,5000,0.94,2.78,3.27,4.01,4.34,4999,4.88,4.88
1,1024,10000,0.44,2.61,3.07,3.73,4.29,9995,9.76,9.76
1,1024,50000,0.45,3.86,4.49,5.35,5.98,49884,48.71,48.71
2,1024,10,0.15,0.27,0.30,0.39,0.48,10,0.00,0.00
2,1024,100,0.16,0.54,0.67,0.73,0.84,100,0.09,0.09
2,1024,1000,0.44,1.75,2.32,3.13,3.53,1000,0.97,0.97
2,1024,5000,0.48,2.52,2.92,3.82,4.84,4998,4.88,4.88
2,1024,10000,0.54,3.43,3.84,4.57,4.99,9996,9.76,9.76
2,1024,50000,0.58,3.81,4.36,5.17,6.07,49886,48.71,48.71
3,1024,10,0.20,0.28,0.31,0.48,0.51,10,0.00,0.00
3,1024,100,0.19,0.52,0.60,0.74,0.82,100,0.09,0.09
3,1024,1000,0.56,1.43,1.76,2.25,2.74,1000,0.97,0.97
3,1024,5000,0.52,3.73,4.38,5.17,5.65,4999,4.88,4.88
3,1024,10000,0.59,2.58,3.00,3.62,4.33,9995,9.76,9.76
3,1024,50000,0.56,3.02,3.53,4.34,5.18,49884,48.71,48.71
1,4096,10,0.28,0.42,0.44,0.48,0.65,10,0.03,0.03
1,4096,100,0.26,0.88,0.99,1.10,1.22,100,0.39,0.39
1,4096,1000,0.28,3.05,3.49,4.42,4.77,1000,3.90,3.90
1,4096,5000,0.36,3.00,3.31,4.04,4.28,4999,19.52,19.52
1,4096,10000,0.65,2.29,2.78,3.44,3.91,9995,39.04,39.04
2,4096,10,0.29,0.38,0.42,0.46,0.57,10,0.03,0.03
2,4096,100,0.31,0.90,0.98,1.42,1.92,100,0.39,0.39
2,4096,1000,0.28,1.76,2.09,2.87,3.06,1000,3.90,3.90
2,4096,5000,0.22,2.46,2.77,3.46,3.76,4999,19.52,19.52
2,4096,10000,0.56,2.65,2.96,3.67,4.04,9995,39.04,39.04
3,4096,10,0.30,0.45,0.46,0.53,0.68,10,0.03,0.03
3,4096,100,0.28,0.93,1.05,1.32,1.96,100,0.39,0.39
3,4096,1000,0.24,2.11,2.42,2.95,3.35,1000,3.90,3.90
3,4096,5000,0.22,2.13,2.54,3.19,3.52,4999,19.52,19.52
3,4096,10000,0.32,2.54,2.95,3.64,3.98,9994,39.03,39.03
1,16384,10,0.35,0.60,0.75,0.94,1.50,10,0.15,0.15
1,16384,100,0.51,1.39,1.74,2.05,2.96,100,1.56,1.56
1,16384,1000,0.52,4.16,4.64,5.64,17.51,1000,15.62,15.62
1,16384,5000,0.49,3.08,3.39,3.99,4.39,4999,78.10,78.10
2,16384,10,0.26,0.46,0.53,0.71,1.35,10,0.15,0.15
2,16384,100,0.27,1.63,2.17,3.15,3.52,100,1.56,1.56
2,16384,1000,0.53,2.26,2.67,3.39,3.73,1000,15.62,15.62
2,16384,5000,0.51,2.28,2.59,3.16,3.70,4999,78.10,78.10
3,16384,10,0.33,0.61,0.73,0.92,1.03,10,0.15,0.15
3,16384,100,0.53,1.48,1.90,2.99,3.96,100,1.56,1.56
3,16384,1000,0.56,2.86,3.17,3.84,4.12,1000,15.62,15.62
3,16384,5000,0.44,2.60,3.05,3.70,4.01,4998,78.09,78.09
1,65536,10,0.45,1.12,1.35,1.82,2.39,10,0.62,0.62
1,65536,100,1.25,4.35,5.29,6.46,6.83,100,6.25,6.25
1,65536,1000,0.93,3.20,3.54,4.23,4.55,1000,62.50,62.50
2,65536,10,0.37,0.84,0.99,1.69,2.06,10,0.62,0.62
2,65536,100,0.64,2.26,2.62,3.31,3.69,100,6.25,6.25
2,65536,1000,0.99,3.33,3.65,4.42,4.66,1000,62.50,62.50
3,65536,10,0.42,0.97,1.14,1.40,2.15,10,0.62,0.62
3,65536,100,0.64,2.23,2.50,3.32,3.55,100,6.25,6.25
3,65536,1000,0.55,2.12,2.42,3.14,3.37,1000,62.50,62.50
