Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,346332,173163,5.28,2.64
1,64,344876,172166,21.04,10.50
1,256,340030,169491,83.01,41.37
1,512,343202,174382,167.57,85.14
1,1024,279912,140112,273.35,136.82
2,16,337848,168915,5.15,2.57
2,64,354300,177144,21.62,10.81
2,256,342218,173676,83.54,42.40
2,512,335222,169936,163.68,82.97
2,1024,310774,154595,303.49,150.97
3,16,339280,170137,5.17,2.59
3,64,341652,170845,20.85,10.42
3,256,335046,171806,81.79,41.94
3,512,365280,184756,178.35,90.21
3,1024,278314,138852,271.79,135.59
