Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,658559,658556,10.04,10.04
1,64,644961,644959,39.36,39.36
1,256,576298,576296,140.69,140.69
1,512,450952,450832,220.19,220.13
1,1024,337221,337201,329.31,329.29
1,4096,110467,110463,431.51,431.49
1,16384,24948,24947,389.81,389.79
1,65536,8478,8478,529.87,529.87
2,16,661352,661349,10.09,10.09
2,64,638182,638180,38.95,38.95
2,256,583101,583093,142.35,142.35
2,512,450903,450856,220.16,220.14
2,1024,349477,349459,341.28,341.26
2,4096,99684,99681,389.39,389.37
2,16384,25544,25543,399.12,399.10
2,65536,8643,8642,540.18,540.12
3,16,680334,680330,10.38,10.38
3,64,636070,636067,38.82,38.82
3,256,586919,586917,143.29,143.29
3,512,443392,443350,216.50,216.47
3,1024,336920,336891,329.02,328.99
3,4096,108811,108806,425.04,425.02
3,16384,26927,26926,420.73,420.71
3,65536,8686,8686,542.87,542.87
