Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,669512,669506,10.21,10.21
1,64,660804,660256,40.33,40.29
1,256,247542,247141,60.43,60.33
1,512,127978,127924,62.48,62.46
1,1024,65858,65834,64.31,64.29
1,4096,16806,16799,65.64,65.62
1,16384,4225,4222,66.01,65.96
1,65536,1056,1056,66.00,66.00
2,16,694892,694888,10.60,10.60
2,64,681635,681586,41.60,41.60
2,256,247424,247209,60.40,60.35
2,512,128014,127965,62.50,62.48
2,1024,65846,65824,64.30,64.28
2,4096,16808,16800,65.65,65.62
2,16384,4224,4222,66.00,65.96
2,65536,1056,1056,66.00,66.00
3,16,694744,694738,10.60,10.60
3,64,685473,685425,41.83,41.83
3,256,247444,247127,60.41,60.33
3,512,128130,128016,62.56,62.50
3,1024,65847,65831,64.30,64.28
3,4096,16810,16801,65.66,65.62
3,16384,4224,4222,66.00,65.96
3,65536,1056,1056,66.00,66.00
