Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.15,0.16,0.28,0.29,0.29,10,0.00,0.00
1,16,100,0.14,0.28,0.28,0.28,0.29,100,0.00,0.00
1,16,1000,0.05,0.08,0.14,0.34,0.34,1000,0.01,0.01
1,16,5000,0.04,0.13,0.18,0.31,0.32,4999,0.07,0.07
1,16,10000,0.04,0.17,0.30,0.31,0.32,9994,0.15,0.15
1,16,50000,0.07,0.30,0.31,0.32,0.40,49859,0.76,0.76
1,16,100000,0.12,0.41,0.55,0.57,0.62,99476,1.51,1.51
1,16,250000,0.15,0.61,0.67,0.81,5.44,246702,3.76,3.76
1,16,500000,0.14,1.00,1.12,1.75,21.78,486660,7.42,7.42
2,16,10,0.06,0.07,0.08,0.10,0.13,10,0.00,0.00
2,16,100,0.14,0.28,0.28,0.28,0.29,100,0.00,0.00
2,16,1000,0.05,0.08,0.09,0.16,0.34,1000,0.01,0.01
2,16,5000,0.05,0.14,0.15,0.21,0.40,4999,0.07,0.07
2,16,10000,0.05,0.12,0.18,0.31,0.31,9995,0.15,0.15
2,16,50000,0.06,0.21,0.23,0.27,0.36,49873,0.76,0.76
2,16,100000,0.12,0.46,0.47,0.48,0.72,99454,1.51,1.51
2,16,250000,0.11,0.62,0.79,0.85,5.46,246694,3.76,3.76
2,16,500000,0.19,1.00,1.14,1.93,21.30,486790,7.42,7.42
3,16,10,0.07,0.12,0.13,0.14,0.15,10,0.00,0.00
3,16,100,0.14,0.27,0.28,0.28,0.28,100,0.00,0.00
3,16,1000,0.05,0.08,0.08,0.15,0.34,1000,0.01,0.01
3,16,5000,0.05,0.12,0.18,0.31,0.32,4998,0.07,0.07
3,16,10000,0.05,0.14,0.21,0.27,0.40,9995,0.15,0.15
3,16,50000,0.06,0.23,0.24,0.26,0.29,49872,0.76,0.76
3,16,100000,0.12,0.37,0.55,0.57,0.72,99480,1.51,1.51
3,16,250000,0.13,0.61,0.76,0.83,5.03,246675,3.76,3.76
3,16,500000,0.23,1.02,1.14,1.69,20.90,486740,7.42,7.42
1,64,10,0.12,0.19,0.19,0.20,0.21,10,0.00,0.00
1,64,100,0.05,0.06,0.07,0.07,0.09,100,0.00,0.00
1,64,1000,0.04,0.12,0.30,0.31,0.32,1000,0.06,0.06
1,64,5000,0.04,0.11,0.18,0.31,0.32,4999,0.30,0.30
1,64,10000,0.05,0.14,0.15,0.40,0.40,9995,0.61,0.61
1,64,50000,0.06,0.26,0.27,0.34,0.43,49873,3.04,3.04
1,64,100000,0.12,0.36,0.47,0.48,0.69,99480,6.07,6.07
1,64,250000,0.17,0.59,0.68,0.84,5.03,246700,15.05,15.05
1,64,500000,0.24,1.10,1.18,2.34,21.73,486760,29.70,29.70
2,64,10,0.08,0.15,0.15,0.28,0.29,10,0.00,0.00
2,64,100,0.05,0.06,0.06,0.07,0.08,100,0.00,0.00
2,64,1000,0.04,0.08,0.09,0.15,0.15,1000,0.06,0.06
2,64,5000,0.05,0.14,0.15,0.27,0.40,4999,0.30,0.30
2,64,10000,0.05,0.19,0.31,0.32,0.33,9994,0.60,0.60
2,64,50000,0.07,0.30,0.31,0.32,0.48,49860,3.04,3.04
2,64,100000,0.12,0.46,0.47,0.48,0.74,99468,6.07,6.07
2,64,250000,0.19,0.57,0.68,0.83,5.13,246692,15.05,15.05
2,64,500000,0.20,1.12,1.20,2.43,21.26,486949,29.72,29.72
3,64,10,0.07,0.07,0.08,0.09,0.11,10,0.00,0.00
3,64,100,0.06,0.09,0.19,0.19,0.19,100,0.00,0.00
3,64,1000,0.05,0.06,0.12,0.31,0.32,1000,0.06,0.06
3,64,5000,0.05,0.14,0.15,0.27,0.28,4999,0.30,0.30
3,64,10000,0.05,0.14,0.20,0.34,0.40,9995,0.61,0.61
3,64,50000,0.07,0.23,0.27,0.28,0.41,49873,3.04,3.04
3,64,100000,0.09,0.35,0.41,0.48,0.66,99481,6.07,6.07
3,64,250000,0.18,0.60,0.74,0.82,5.25,246745,15.06,15.05
3,64,500000,0.23,0.96,1.12,2.29,21.36,486816,29.71,29.71
1,256,10,0.07,0.13,0.19,0.20,0.20,10,0.00,0.00
1,256,100,0.06,0.18,0.31,0.32,0.32,100,0.02,0.02
1,256,1000,0.07,0.08,0.08,0.09,0.34,1000,0.24,0.24
1,256,5000,0.05,0.17,0.19,0.31,0.32,4998,1.22,1.22
1,256,10000,0.07,0.14,0.26,0.40,0.40,9995,2.44,2.44
1,256,50000,0.07,0.32,0.41,0.47,0.52,49870,12.17,12.17
1,256,100000,0.14,0.43,0.54,0.57,1.12,99493,24.29,24.29
1,256,250000,0.09,0.69,0.73,0.93,5.69,246693,60.22,60.22
2,256,10,0.06,0.09,0.09,0.16,0.16,10,0.00,0.00
2,256,100,0.06,0.08,0.09,0.15,0.15,100,0.02,0.02
2,256,1000,0.04,0.12,0.18,0.31,0.32,1000,0.24,0.24
2,256,5000,0.05,0.17,0.18,0.31,0.32,4999,1.22,1.22
2,256,10000,0.05,0.18,0.30,0.32,0.33,9995,2.44,2.44
2,256,50000,0.07,0.31,0.32,0.47,0.55,49860,12.17,12.17
2,256,100000,0.09,0.48,0.55,0.58,1.22,99490,24.28,24.28
2,256,250000,0.09,0.72,0.84,0.92,5.69,246722,60.23,60.22
3,256,10,0.06,0.07,0.08,0.10,0.11,10,0.00,0.00
3,256,100,0.05,0.06,0.06,0.07,0.08,100,0.02,0.02
3,256,1000,0.04,0.08,0.10,0.15,0.34,1000,0.24,0.24
3,256,5000,0.04,0.18,0.30,0.31,0.32,4999,1.22,1.22
3,256,10000,0.05,0.12,0.17,0.31,0.32,9994,2.43,2.43
3,256,50000,0.07,0.31,0.31,0.36,0.52,49868,12.17,12.17
3,256,100000,0.14,0.46,0.52,0.55,1.26,99489,24.28,24.28
3,256,250000,0.13,0.70,0.78,0.96,5.78,246744,60.24,60.23
1,512,10,0.15,0.28,0.28,0.29,0.30,10,0.00,0.00
1,512,100,0.06,0.07,0.12,0.18,0.19,100,0.04,0.04
1,512,1000,0.05,0.08,0.09,0.21,0.34,1000,0.48,0.48
1,512,5000,0.05,0.14,0.15,0.21,0.27,4999,2.44,2.44
1,512,10000,0.05,0.15,0.20,0.27,0.30,9995,4.88,4.88
1,512,50000,0.09,0.32,0.39,0.55,0.66,49873,24.35,24.35
1,512,100000,0.14,0.53,0.55,0.63,1.42,99458,48.56,48.56
2,512,10,0.06,0.08,0.09,0.11,0.14,10,0.00,0.00
2,512,100,0.06,0.08,0.09,0.09,0.15,100,0.04,0.04
2,512,1000,0.05,0.12,0.30,0.31,0.32,1000,0.48,0.48
2,512,5000,0.05,0.14,0.15,0.27,0.41,4998,2.44,2.44
2,512,10000,0.05,0.30,0.31,0.32,0.36,9994,4.87,4.87
