Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,751353,751230,11.46,11.46
1,64,699791,699672,42.71,42.70
1,256,560344,560275,136.80,136.78
1,512,443040,442995,216.32,216.30
1,1024,290836,290811,284.01,283.99
1,4096,109487,109480,427.68,427.65
1,16384,33106,33105,517.28,517.26
1,65536,9312,9312,582.00,582.00
2,16,756205,756057,11.53,11.53
2,64,701128,701053,42.79,42.78
2,256,561417,561371,137.06,137.05
2,512,422905,422882,206.49,206.48
2,1024,309998,309983,302.73,302.71
2,4096,117429,117424,458.70,458.68
2,16384,24631,24629,384.85,384.82
2,65536,8764,8763,547.75,547.68
3,16,758432,758242,11.57,11.56
3,64,698126,698029,42.61,42.60
3,256,556680,556644,135.90,135.89
3,512,406942,406918,198.70,198.69
3,1024,243797,243739,238.08,238.02
3,4096,47304,27806,184.78,108.61
3,16384,4507,4504,70.42,70.37
3,65536,1402,1094,87.62,68.37
