Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.25,0.41,0.44,0.48,0.51,10,0.00,0.00
1,16,100,0.17,0.31,0.32,0.37,0.39,100,0.00,0.00
1,16,1000,0.12,0.29,0.34,0.43,0.48,1000,0.01,0.01
1,16,5000,0.11,0.30,0.34,0.38,0.41,4998,0.07,0.07
1,16,10000,0.12,0.31,0.34,0.38,0.44,9992,0.15,0.15
1,16,50000,0.14,0.38,0.42,0.51,0.61,49825,0.76,0.76
1,16,100000,0.12,0.31,0.46,0.89,1.73,99230,1.51,1.51
1,16,250000,0.15,0.53,0.67,0.84,10.39,245226,3.74,3.74
1,16,500000,0.12,0.29,3.16,29.77,59.28,478514,7.30,7.30
2,16,10,0.17,0.41,0.43,0.47,0.52,10,0.00,0.00
2,16,100,0.17,0.33,0.35,0.39,0.43,100,0.00,0.00
2,16,1000,0.12,0.29,0.31,0.35,0.39,1000,0.01,0.01
2,16,5000,0.13,0.31,0.33,0.37,0.41,4998,0.07,0.07
2,16,10000,0.12,0.31,0.33,0.37,0.42,9992,0.15,0.15
2,16,50000,0.11,0.32,0.38,0.46,0.55,49817,0.76,0.76
2,16,100000,0.12,0.32,0.47,0.94,1.59,99246,1.51,1.51
2,16,250000,0.12,0.78,1.54,7.06,14.58,244933,3.73,3.73
2,16,500000,0.12,0.22,0.24,20.33,49.22,438462,6.69,6.69
3,16,10,0.16,0.41,0.42,0.46,0.47,10,0.00,0.00
3,16,100,0.18,0.31,0.33,0.37,0.42,100,0.00,0.00
3,16,1000,0.12,0.29,0.31,0.36,0.40,1000,0.01,0.01
3,16,5000,0.12,0.29,0.31,0.36,0.39,4998,0.07,0.07
3,16,10000,0.12,0.30,0.33,0.37,0.42,9992,0.15,0.15
3,16,50000,0.12,0.26,0.34,0.43,0.51,49810,0.76,0.76
3,16,100000,0.12,0.40,0.50,1.01,1.68,99235,1.51,1.51
3,16,250000,0.12,0.55,0.98,16.93,31.75,244596,3.73,3.73
3,16,500000,0.11,0.24,1.77,25.96,68.55,476959,7.27,7.27
1,64,10,0.18,0.40,0.43,0.48,0.54,10,0.00,0.00
1,64,100,0.16,0.32,0.34,0.37,0.41,100,0.00,0.00
1,64,1000,0.12,0.32,0.36,0.43,0.49,1000,0.06,0.06
1,64,5000,0.12,0.31,0.33,0.37,0.42,4998,0.30,0.30
1,64,10000,0.12,0.29,0.32,0.37,0.41,9993,0.60,0.60
1,64,50000,0.12,0.34,0.39,0.48,0.61,49815,3.04,3.04
1,64,100000,0.11,0.29,0.40,0.90,1.94,99221,6.05,6.05
1,64,250000,0.12,0.69,1.79,60.80,85.97,245016,14.95,14.90
1,64,500000,0.12,0.25,3.47,29.10,62.55,479994,29.29,29.28
2,64,10,0.18,0.42,0.44,0.48,0.50,10,0.00,0.00
2,64,100,0.17,0.33,0.36,0.42,0.47,100,0.00,0.00
2,64,1000,0.12,0.30,0.33,0.39,0.45,1000,0.06,0.06
2,64,5000,0.12,0.31,0.33,0.37,0.42,4998,0.30,0.30
2,64,10000,0.11,0.30,0.32,0.37,0.41,9992,0.60,0.60
2,64,50000,0.12,0.35,0.39,0.45,0.58,49814,3.04,3.04
2,64,100000,0.12,0.30,0.41,1.19,1.96,99236,6.05,6.05
2,64,250000,0.11,0.17,0.20,1.89,17.67,210505,12.84,12.84
2,64,500000,0.11,0.25,2.99,30.56,59.54,478611,29.21,29.21
3,64,10,0.17,0.40,0.42,0.46,0.48,10,0.00,0.00
3,64,100,0.17,0.31,0.33,0.38,0.44,100,0.00,0.00
