Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,326110,162905,4.97,2.48
1,64,343458,171688,20.96,10.47
1,256,317710,158868,77.56,38.78
1,512,332872,166546,162.53,81.32
1,1024,326808,163337,319.14,159.50
2,16,335736,167808,5.12,2.56
2,64,332226,166134,20.27,10.14
2,256,328202,164076,80.12,40.05
2,512,332666,166245,162.43,81.17
2,1024,332160,166069,324.37,162.17
3,16,350956,175455,5.35,2.67
3,64,338238,169177,20.64,10.32
3,256,337610,168820,82.42,41.21
3,512,341572,170881,166.78,83.43
3,1024,327140,163402,319.47,159.57
