Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.27,0.31,0.32,0.35,0.37,10,0.00,0.00
1,16,100,0.19,0.29,0.30,0.34,0.55,100,0.00,0.00
1,16,1000,0.13,0.18,0.21,0.29,0.41,1000,0.01,0.01
1,16,5000,0.14,0.24,0.31,0.51,0.58,4998,0.07,0.07
1,16,10000,0.15,0.27,0.30,0.36,0.81,9995,0.15,0.15
1,16,50000,0.14,0.41,0.63,0.67,1.66,49865,0.76,0.76
1,16,100000,0.14,0.55,0.58,0.67,2.38,99493,1.51,1.51
1,16,250000,0.28,1.05,1.11,1.38,7.22,246755,3.76,3.76
1,16,500000,0.29,32.95,45.66,56.02,63.56,487730,7.44,7.42
2,16,10,0.23,0.30,0.32,0.34,0.43,10,0.00,0.00
2,16,100,0.18,0.29,0.33,0.39,0.62,100,0.00,0.00
2,16,1000,0.21,0.34,0.34,0.35,0.41,1000,0.01,0.01
2,16,5000,0.15,0.32,0.41,0.49,0.93,4998,0.07,0.07
2,16,10000,0.16,0.28,0.32,0.41,0.65,9994,0.15,0.15
2,16,50000,0.17,0.42,0.47,0.66,1.00,49876,0.76,0.76
2,16,100000,0.16,0.56,0.61,0.78,2.87,99500,1.51,1.51
2,16,250000,0.19,0.96,1.08,1.44,10.20,246852,3.76,3.76
2,16,500000,0.37,2.21,8.32,47.47,59.30,488403,7.45,7.45
3,16,10,0.21,0.34,0.34,0.37,0.49,10,0.00,0.00
3,16,100,0.19,0.31,0.33,0.36,0.48,100,0.00,0.00
3,16,1000,0.14,0.23,0.26,0.36,0.46,1000,0.01,0.01
3,16,5000,0.14,0.41,0.41,0.42,0.71,4998,0.07,0.07
3,16,10000,0.21,0.40,0.41,0.42,0.67,9993,0.15,0.15
3,16,50000,0.15,0.40,0.42,0.49,0.83,49872,0.76,0.76
3,16,100000,0.14,0.56,0.60,0.72,2.77,99498,1.51,1.51
3,16,250000,0.28,1.03,1.10,2.40,51.91,246864,3.76,3.76
3,16,500000,0.43,1.70,2.28,6.29,20.22,487807,7.44,7.44
1,64,10,0.20,0.34,0.39,0.41,0.44,10,0.00,0.00
1,64,100,0.20,0.28,0.32,0.36,0.52,100,0.00,0.00
1,64,1000,0.14,0.20,0.23,0.30,0.43,1000,0.06,0.06
