Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,337594,168433,5.15,2.57
1,64,339489,169869,20.72,10.36
1,256,327462,163674,79.94,39.95
1,512,324818,162391,158.60,79.29
1,1024,323326,161723,315.74,157.93
2,16,359568,179831,5.48,2.74
2,64,334148,166993,20.39,10.19
2,256,320850,160422,78.33,39.16
2,512,327110,163321,159.72,79.74
2,1024,328898,164446,321.18,160.59
3,16,359148,179646,5.48,2.74
3,64,326402,163037,19.92,9.95
3,256,322648,161505,78.77,39.42
3,512,324262,162151,158.33,79.17
3,1024,318846,159475,311.37,155.73
