Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,553733,553560,8.44,8.44
1,64,519547,519448,31.71,31.70
1,256,397512,397463,97.04,97.03
1,512,318563,318505,155.54,155.52
1,1024,215149,215126,210.10,210.08
1,4096,76923,76916,300.48,300.45
1,16384,23145,23143,361.64,361.60
2,16,565540,565347,8.62,8.62
2,64,501194,501036,30.59,30.58
2,256,414302,414256,101.14,101.13
2,512,335205,335165,163.67,163.65
2,1024,211510,211487,206.55,206.53
2,4096,75772,75765,295.98,295.95
2,16384,22144,22140,346.00,345.93
3,16,568270,568076,8.67,8.66
3,64,509961,509849,31.12,31.11
3,256,398801,398663,97.36,97.32
3,512,309442,309340,151.09,151.04
3,1024,7329,7327,7.15,7.15
3,4096,1928,1913,7.53,7.47
3,16384,8222,5789,128.46,90.45
