Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.15,0.15,0.28,0.29,0.29,10,0.00,0.00
1,16,100,0.06,0.08,0.32,0.33,0.33,100,0.00,0.00
1,16,1000,0.05,0.10,0.13,0.19,0.20,1000,0.01,0.01
1,16,5000,0.06,0.09,0.14,0.21,0.27,4999,0.07,0.07
1,16,10000,0.06,0.21,0.33,0.40,0.40,9995,0.15,0.15
1,16,50000,0.07,0.27,0.39,0.41,0.42,49871,0.76,0.76
1,16,100000,0.10,0.34,0.49,0.53,0.59,99491,1.51,1.51
1,16,250000,0.11,0.47,0.57,0.63,4.77,246703,3.76,3.76
1,16,500000,0.10,0.70,0.78,1.62,22.03,486505,7.42,7.42
2,16,10,0.07,0.09,0.09,0.10,0.15,10,0.00,0.00
2,16,100,0.06,0.09,0.09,0.15,0.28,100,0.00,0.00
2,16,1000,0.06,0.07,0.19,0.32,0.34,1000,0.01,0.01
2,16,5000,0.05,0.19,0.31,0.32,0.32,4999,0.07,0.07
2,16,10000,0.06,0.14,0.20,0.33,0.35,9995,0.15,0.15
2,16,50000,0.07,0.39,0.40,0.41,0.42,49871,0.76,0.76
2,16,100000,0.10,0.29,0.34,0.51,0.59,99486,1.51,1.51
2,16,250000,0.09,0.47,0.53,0.71,4.93,246686,3.76,3.76
2,16,500000,0.20,0.70,0.78,1.75,21.43,486562,7.42,7.42
3,16,10,0.08,0.09,0.09,0.10,0.11,10,0.00,0.00
3,16,100,0.06,0.07,0.07,0.08,0.08,100,0.00,0.00
3,16,1000,0.05,0.07,0.12,0.13,0.14,1000,0.01,0.01
3,16,5000,0.05,0.13,0.19,0.20,0.20,4999,0.07,0.07
3,16,10000,0.06,0.14,0.18,0.21,0.27,9995,0.15,0.15
3,16,50000,0.07,0.21,0.21,0.24,0.36,49868,0.76,0.76
3,16,100000,0.08,0.32,0.50,0.53,0.70,99495,1.51,1.51
3,16,250000,0.12,0.47,0.58,0.64,4.78,246680,3.76,3.76
3,16,500000,0.21,0.87,0.98,1.83,21.25,486834,7.42,7.42
1,64,10,0.14,0.16,0.28,0.29,0.29,10,0.00,0.00
1,64,100,0.06,0.07,0.07,0.07,0.08,100,0.00,0.00
1,64,1000,0.05,0.19,0.32,0.32,0.33,1000,0.06,0.06
1,64,5000,0.05,0.20,0.32,0.33,0.34,4999,0.30,0.30
1,64,10000,0.06,0.14,0.15,0.20,0.20,9995,0.61,0.61
1,64,50000,0.07,0.21,0.27,0.42,0.45,49875,3.04,3.04
1,64,100000,0.12,0.31,0.34,0.40,0.60,99479,6.07,6.07
1,64,250000,0.14,0.55,0.61,0.85,4.18,246779,15.06,15.06
1,64,500000,0.15,0.85,0.98,2.10,20.92,486810,29.71,29.71
2,64,10,0.07,0.07,0.08,0.09,0.10,10,0.00,0.00
2,64,100,0.06,0.07,0.07,0.07,0.08,100,0.00,0.00
2,64,1000,0.06,0.08,0.09,0.09,0.10,1000,0.06,0.06
2,64,5000,0.05,0.12,0.13,0.19,0.19,4999,0.30,0.30
2,64,10000,0.06,0.18,0.19,0.32,0.32,9995,0.61,0.61
2,64,50000,0.07,0.27,0.40,0.42,0.59,49875,3.04,3.04
2,64,100000,0.10,0.31,0.48,0.51,0.68,99461,6.07,6.07
2,64,250000,0.14,0.49,0.57,0.70,5.03,246702,15.05,15.05
2,64,500000,0.32,0.88,1.02,2.46,21.67,486821,29.71,29.71
3,64,10,0.07,0.07,0.08,0.09,0.10,10,0.00,0.00
3,64,100,0.06,0.07,0.07,0.08,0.09,100,0.00,0.00
3,64,1000,0.05,0.12,0.18,0.32,0.38,1000,0.06,0.06
3,64,5000,0.06,0.41,0.41,0.44,0.45,4998,0.30,0.30
3,64,10000,0.07,0.15,0.22,0.40,0.41,9994,0.60,0.60
3,64,50000,0.07,0.28,0.40,0.44,0.67,49868,3.04,3.04
3,64,100000,0.09,0.38,0.50,0.52,0.67,99466,6.07,6.07
3,64,250000,0.20,0.48,0.57,0.68,5.12,246654,15.05,15.05
3,64,500000,0.17,0.74,0.89,2.37,21.80,486572,29.69,29.69
1,256,10,0.07,0.14,0.20,0.20,0.21,10,0.00,0.00
1,256,100,0.06,0.10,0.19,0.19,0.20,100,0.02,0.02
1,256,1000,0.05,0.12,0.13,0.20,0.32,1000,0.24,0.24
1,256,5000,0.05,0.18,0.19,0.32,0.32,4998,1.22,1.22
1,256,10000,0.06,0.18,0.19,0.25,0.26,9994,2.43,2.43
1,256,50000,0.07,0.34,0.52,0.59,0.65,49871,12.17,12.17
1,256,100000,0.12,0.36,0.49,0.55,0.83,99484,24.28,24.28
1,256,250000,0.09,0.68,0.76,1.02,5.84,246712,60.23,60.23
2,256,10,0.07,0.22,0.33,0.34,0.35,10,0.00,0.00
2,256,100,0.06,0.07,0.07,0.07,0.08,100,0.02,0.02
2,256,1000,0.05,0.09,0.12,0.19,0.19,1000,0.24,0.24
2,256,5000,0.06,0.18,0.19,0.26,0.26,4999,1.22,1.22
2,256,10000,0.06,0.22,0.32,0.44,0.58,9995,2.44,2.44
2,256,50000,0.07,0.29,0.32,0.39,0.51,49870,12.17,12.17
2,256,100000,0.14,0.48,0.55,0.74,1.04,99509,24.29,24.29
2,256,250000,0.22,0.67,0.78,1.00,4.92,246746,60.24,60.23
3,256,10,0.15,0.16,0.28,0.29,0.29,10,0.00,0.00
3,256,100,0.06,0.07,0.12,0.13,0.14,100,0.02,0.02
3,256,1000,0.05,0.09,0.16,0.34,0.35,1000,0.24,0.24
3,256,5000,0.06,0.19,0.25,0.33,0.38,4999,1.22,1.22
3,256,10000,0.06,0.24,0.34,0.35,0.37,9995,2.44,2.44
3,256,50000,0.08,0.24,0.30,0.43,0.48,49872,12.17,12.17
3,256,100000,0.11,0.34,0.45,0.53,1.08,99488,24.28,24.28
3,256,250000,0.12,0.60,0.69,0.93,5.91,246666,60.22,60.22
1,512,10,0.09,0.20,0.33,0.33,0.34,10,0.00,0.00
1,512,100,0.14,0.28,0.28,0.28,0.29,100,0.04,0.04
1,512,1000,0.06,0.07,0.08,0.13,0.19,1000,0.48,0.48
1,512,5000,0.06,0.14,0.15,0.28,0.40,4999,2.44,2.44
1,512,10000,0.06,0.20,0.22,0.37,0.39,9994,4.87,4.87
1,512,50000,0.07,0.32,0.33,0.39,0.52,49870,24.35,24.35
1,512,100000,0.12,0.36,0.49,0.57,2.13,99477,48.57,48.57
2,512,10,0.14,0.16,0.28,0.28,0.29,10,0.00,0.00
2,512,100,0.06,0.09,0.32,0.33,0.33,100,0.04,0.04
2,512,1000,0.06,0.07,0.12,0.13,0.14,1000,0.48,0.48
2,512,5000,0.06,0.21,0.33,0.41,0.41,4998,2.44,2.44
2,512,10000,0.05,0.25,0.32,0.39,0.58,9994,4.87,4.87
2,512,50000,0.09,0.43,0.48,0.69,0.73,49876,24.35,24.35
2,512,100000,0.15,0.35,0.41,0.57,2.10,99482,48.57,48.57
3,512,10,0.07,0.08,0.09,0.09,0.12,10,0.00,0.00
3,512,100,0.06,0.09,0.09,0.15,0.16,100,0.04,0.04
3,512,1000,0.06,0.07,0.12,0.13,0.14,1000,0.48,0.48
3,512,5000,0.05,0.14,0.16,0.19,0.21,4999,2.44,2.44
3,512,10000,0.06,0.19,0.31,0.33,0.37,9994,4.87,4.87
3,512,50000,0.09,0.40,0.48,0.52,0.66,49871,24.35,24.35
3,512,100000,0.10,0.35,0.43,0.59,2.34,99478,48.57,48.57
1,1024,10,0.07,0.09,0.09,0.10,0.16,10,0.00,0.00
1,1024,100,0.06,0.07,0.07,0.08,0.09,100,0.09,0.09
1,1024,1000,0.06,0.07,0.08,0.15,0.21,1000,0.97,0.97
1,1024,5000,0.06,0.32,0.32,0.33,0.35,4999,4.88,4.88
1,1024,10000,0.06,0.31,0.32,0.45,0.59,9995,9.76,9.75
1,1024,50000,0.07,0.57,0.59,0.76,17.27,49862,48.69,48.69
2,1024,10,0.08,0.15,0.15,0.16,0.18,10,0.00,0.00
2,1024,100,0.06,0.10,0.32,0.32,0.33,100,0.09,0.09
2,1024,1000,0.06,0.12,0.13,0.20,0.20,1000,0.97,0.97
2,1024,5000,0.07,0.21,0.21,0.28,0.34,4999,4.88,4.88
2,1024,10000,0.06,0.31,0.32,0.34,0.47,9995,9.76,9.75
2,1024,50000,0.09,0.41,0.43,0.57,1.09,49863,48.69,48.69
3,1024,10,0.07,0.08,0.09,0.10,0.11,10,0.00,0.00
3,1024,100,0.09,0.28,0.28,0.29,0.29,100,0.09,0.09
3,1024,1000,0.06,0.13,0.33,0.38,0.39,1000,0.97,0.97
3,1024,5000,0.06,0.33,0.34,0.41,0.42,4998,4.88,4.88
3,1024,10000,0.06,0.41,0.42,0.45,0.58,9995,9.76,9.76
3,1024,50000,0.10,0.40,0.42,0.55,0.87,49866,48.69,48.69
1,4096,10,0.08,0.09,0.10,0.12,0.16,10,0.03,0.03
1,4096,100,0.16,0.28,0.28,0.29,0.31,100,0.39,0.39
1,4096,1000,0.07,0.11,0.14,0.16,0.22,1000,3.90,3.90
1,4096,5000,0.07,0.28,0.38,0.44,0.57,4999,19.52,19.52
1,4096,10000,0.07,0.28,0.41,0.43,0.58,9995,39.04,39.04
2,4096,10,0.15,0.28,0.29,0.30,0.32,10,0.03,0.03
2,4096,100,0.07,0.08,0.08,0.10,0.14,100,0.39,0.39
2,4096,1000,0.06,0.20,0.32,0.33,0.35,1000,3.90,3.90
2,4096,5000,0.07,0.29,0.39,0.45,0.60,4998,19.52,19.52
2,4096,10000,0.07,0.35,0.47,0.64,0.73,9995,39.04,39.03
3,4096,10,0.14,0.20,0.21,0.22,0.24,10,0.03,0.03
3,4096,100,0.07,0.09,0.09,0.10,0.16,100,0.39,0.39
3,4096,1000,0.07,0.09,0.15,0.22,0.34,1000,3.90,3.90
3,4096,5000,0.07,0.21,0.29,0.45,0.49,4999,19.52,19.52
3,4096,10000,0.07,0.33,0.34,0.40,0.53,9995,39.04,39.04
1,16384,10,0.25,0.40,0.49,0.51,0.53,10,0.15,0.15
1,16384,100,0.16,0.36,0.36,0.38,0.43,100,1.56,1.56
1,16384,1000,0.09,0.23,0.31,0.44,0.55,1000,15.62,15.62
1,16384,5000,0.19,0.45,0.48,0.59,2.07,4998,78.09,78.09
2,16384,10,0.17,0.24,0.25,0.26,0.38,10,0.15,0.15
2,16384,100,0.16,0.36,0.36,0.38,0.53,100,1.56,1.56
2,16384,1000,0.10,0.36,0.43,0.47,0.62,1000,15.62,15.62
2,16384,5000,0.11,0.59,0.65,0.76,2.12,4998,78.09,78.09
3,16384,10,0.12,0.17,0.18,0.20,0.32,10,0.15,0.15
3,16384,100,0.16,0.40,0.41,0.42,0.54,100,1.56,1.56
3,16384,1000,0.10,0.34,0.45,0.59,0.62,1000,15.62,15.62
3,16384,5000,0.17,0.51,0.61,0.74,2.06,4998,78.09,78.09
1,65536,10,0.23,0.31,0.35,0.43,0.53,10,0.62,0.62
1,65536,100,0.17,0.28,0.33,0.36,0.46,100,6.25,6.25
1,65536,1000,0.18,0.47,0.48,0.69,2.05,1000,62.50,62.50
2,65536,10,0.37,0.51,0.63,0.71,0.86,10,0.62,0.62
2,65536,100,0.24,0.46,0.47,0.53,0.66,100,6.25,6.25
2,65536,1000,0.19,0.47,0.53,0.70,2.05,1000,62.50,62.50
3,65536,10,0.34,0.55,0.56,0.63,0.74,10,0.62,0.62
3,65536,100,0.30,0.49,0.52,0.55,0.61,100,6.25,6.25
3,65536,1000,0.19,0.44,0.47,0.60,1.92,1000,62.50,62.50
