Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,251878,126062,3.84,1.92
1,64,261760,130888,15.97,7.98
1,256,201570,89535,49.21,21.85
1,512,234902,117403,114.69,57.32
1,1024,197062,98431,192.44,96.12
2,16,265738,132739,4.05,2.02
2,64,265884,132837,16.22,8.10
2,256,197552,98426,48.23,24.02
2,512,256758,128461,125.37,62.72
2,1024,198286,98976,193.63,96.65
3,16,277758,138944,4.23,2.12
3,64,244848,122406,14.94,7.47
3,256,172054,86012,42.00,20.99
3,512,241038,120688,117.69,58.92
3,1024,261726,131002,255.59,127.93
