Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,842316,842126,12.85,12.84
1,64,781550,781423,47.70,47.69
1,256,549356,549325,134.12,134.11
1,512,499603,499552,243.94,243.92
1,1024,362092,362074,353.60,353.58
1,4096,123806,123801,483.61,483.59
1,16384,38118,38116,595.59,595.56
1,65536,10154,10154,634.62,634.62
2,16,821690,821525,12.53,12.53
2,64,773256,773134,47.19,47.18
2,256,622008,621925,151.85,151.83
2,512,499672,499647,243.98,243.96
2,1024,338509,338491,330.57,330.55
2,4096,136907,136902,534.79,534.77
2,16384,39942,39941,624.09,624.07
2,65536,11208,11207,700.50,700.43
3,16,820817,820631,12.52,12.52
3,64,779999,779890,47.60,47.60
3,256,620996,620948,151.61,151.59
3,512,480455,480424,234.59,234.58
3,1024,323547,323532,315.96,315.94
3,4096,128340,128334,501.32,501.30
3,16384,39370,39369,615.15,615.14
3,65536,10897,10896,681.06,681.00
